Modelo,Acurácia Teste,Tempo Treinamento (s),Melhores Parâmetros
RandomForest | Balanceamento: tomek | PCA: Não | Parametros: grid,0.6234081261370528,18.47337317466736,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
SVM | Balanceamento: tomek | PCA: Não | Parametros: grid,0.6428138265615525,171.57553625106812,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
KNN | Balanceamento: tomek | PCA: Não | Parametros: grid,0.5967252880533657,6.606347322463989,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}"
DecisionTree | Balanceamento: tomek | PCA: Não | Parametros: grid,0.5997574287446937,0.9878957271575928,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}"
NeuralNetwork | Balanceamento: tomek | PCA: Não | Parametros: grid,0.648271679805943,51.41010022163391,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,)}"
NaiveBayes | Balanceamento: tomek | PCA: Não | Parametros: grid,0.3389933292904791,0.05075192451477051,N/A
LogisticRegression | Balanceamento: smote | PCA: Sim | Parametros: grid,0.6270466949666464,1.7558033466339111,"{'C': 10.0, 'max_iter': 500, 'solver': 'liblinear'}"
RandomForest | Balanceamento: smote | PCA: Sim | Parametros: grid,0.6318981200727714,31.24530601501465,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
SVM | Balanceamento: smote | PCA: Sim | Parametros: grid,0.6270466949666464,5.9121716022491455,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
KNN | Balanceamento: smote | PCA: Sim | Parametros: grid,0.6143117040630686,0.745147705078125,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}"
DecisionTree | Balanceamento: smote | PCA: Sim | Parametros: grid,0.5882352941176471,1.897719144821167,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}"
NeuralNetwork | Balanceamento: smote | PCA: Sim | Parametros: grid,0.6506973923590055,9.898203611373901,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}"
NaiveBayes | Balanceamento: smote | PCA: Sim | Parametros: grid,0.5415403274711946,0.009592294692993164,N/A
LogisticRegression | Balanceamento: tomek | PCA: Sim | Parametros: grid,0.624620982413584,1.616281509399414,"{'C': 10.0, 'max_iter': 500, 'solver': 'liblinear'}"
RandomForest | Balanceamento: tomek | PCA: Sim | Parametros: grid,0.6379624014554275,36.81731104850769,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}"
SVM | Balanceamento: tomek | PCA: Sim | Parametros: grid,0.6264402668283808,7.8651978969573975,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
KNN | Balanceamento: tomek | PCA: Sim | Parametros: grid,0.6106731352334749,0.8084418773651123,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}"
DecisionTree | Balanceamento: tomek | PCA: Sim | Parametros: grid,0.5888417222559127,1.9546434879302979,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}"
NeuralNetwork | Balanceamento: tomek | PCA: Sim | Parametros: grid,0.6361431170406306,9.832358837127686,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}"
NaiveBayes | Balanceamento: tomek | PCA: Sim | Parametros: grid,0.5427531837477259,0.00970768928527832,N/A
